assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,08/10/1997,0,211,TRUE,TRUE,None,None,5,0.38,198869,None,,0,0,0,0,162.6,197,51,0,None,,0,2,3.8,None,0,1.3,0.1,1.76,0.13,0.46,16.88,1.27,0.03,Benjamin,0,485,197,13,0.98,0,FALSE,51,237,72,11,FALSE,247.6,225,82,1195,,None,55,135,15,p198869,0,0,None,0,,198869.jpg,2.9,142,41,0,241,FALSE,0,0,White,0.8,210,71,FALSE,None,13,0.98,a,1,3,30/07/2021,100,222,72,50,0,0,0,0,0,9.1,White,2
1,15/12/1996,2,141,TRUE,TRUE,None,None,4,0.69,206325,None,,0,0,0,0,92.8,243,81,0,None,,0,2,3.1,None,0,0.52,0.09,1.17,0.2,0.65,3.21,0.56,0.11,Oleksandr,0,365,169,1,0.17,0,FALSE,24.1,294,105,12,FALSE,83.4,312,115,518,,None,50,250,38,p206325,0,0,None,0,,206325.jpg,2.7,167,53,0,225,FALSE,0,0,Zinchenko,0.3,338,125,FALSE,None,5,0.87,a,1,3,22/07/2022,66,250,85,40,0,0,0,0,0,8,Zinchenko,1
0,None,0,0,TRUE,TRUE,None,None,0,0,563324,None,,0,0,0,0,0,464,188,0,None,,0,2,1.5,None,0,0,0,0,0,0,0,0,0,Brayden,0,103,62,0,0,0,FALSE,0,473,189,13,FALSE,0,473,189,0,,None,40,647,204,p563324,0,0,None,0,,563324.jpg,0,476,189,0,None,FALSE,0,0,Clarke,0.7,225,77,FALSE,None,0,0,a,1,3,None,0,438,184,0,0,0,0,0,0,0,Clarke,0
0,None,0,0,TRUE,TRUE,None,None,0,0,588793,None,,0,0,0,0,0,470,191,0,None,,0,2,1.5,None,0,0,0,0,0,0,0,0,0,Maldini,0,113,69,0,0,0,FALSE,0,479,192,14,FALSE,0,479,192,0,,None,40,657,211,p588793,0,0,None,0,,588793.jpg,0,482,192,0,None,FALSE,0,0,Kacurri,0.3,369,146,FALSE,None,0,0,a,1,3,None,0,446,189,0,0,0,0,0,0,0,Kacurri,0
0,26/07/2006,0,0,TRUE,TRUE,None,None,0,0,499167,None,,0,0,0,0,0,444,172,0,None,,0,2,1.5,None,0,0,0,0,0,0,0,0,0,Josh,0,78,42,0,0,0,FALSE,0,454,174,15,FALSE,0,454,174,0,,None,40,622,184,p499167,0,0,None,0,,499167.jpg,0,458,175,0,241,FALSE,0,0,Nichols,0.3,380,153,FALSE,None,0,0,a,1,3,24/07/2024,0,415,166,0,0,0,0,0,0,0,Nichols,0
11,05/09/2001,18,508,TRUE,TRUE,None,None,7,0.37,223340,1,,0,0,0,0,842.8,16,15,0,4,,0,3,3.5,None,0,7.78,0.41,14.65,0.77,6.87,17.72,0.93,0.36,Bukayo,0,664,298,21,1.1,6,FALSE,227.9,14,10,16,FALSE,606,87,36,1724,,None,100,5,3,p223340,0,0,1,0,,223340.jpg,5.1,11,6,0,241,FALSE,0,0,Saka,16.4,24,7,FALSE,None,20,1.04,a,1,3,28/11/2018,830,23,13,127,0,0,0,0,0,12.7,Saka,3
9,17/12/1998,11,529,TRUE,TRUE,None,None,11,0.43,184029,3,,0,0,0,0,968.7,7,7,0,2,,0,3,3.1,None,0,6.68,0.26,11.53,0.45,4.85,22.16,0.86,0.19,Martin,0,652,289,21,0.81,3,FALSE,198.8,32,25,17,FALSE,524.6,113,46,2321,,None,80,14,8,p184029,0,0,2,0,,184029.jpg,3.9,56,28,0,161,FALSE,0,0,Ødegaard,3.3,95,30,FALSE,None,26,1.01,a,1,3,20/08/2021,493,63,43,116,0,0,0,0,0,14.5,Ødegaard,4
5,10/03/2002,12,425,TRUE,TRUE,None,None,6,0.27,248857,None,,0,0,0,0,475.1,73,59,0,None,,0,3,2.8,None,0,2.86,0.13,12.48,0.56,9.62,29.55,1.31,0.43,Noni,0,634,279,28,1.24,7,FALSE,195.3,37,29,18,FALSE,479.2,130,54,2028,,None,70,36,24,p248857,0,0,None,0,,248857.jpg,3.8,63,31,0,241,FALSE,0,0,Madueke,1.8,136,43,FALSE,None,27,1.2,a,1,3,18/07/2025,998,11,5,120,0,0,0,0,0,17.1,Madueke,3
4,18/06/2001,6,422,TRUE,TRUE,None,None,10,0.39,444145,None,,0,0,0,0,587.8,51,44,0,None,,0,3,2.8,None,0,4.46,0.18,11.59,0.46,7.13,26.22,1.03,0.28,Gabriel,0,637,281,25,0.99,8,FALSE,206.1,26,21,19,FALSE,559.8,103,41,2284,,None,70,39,26,p444145,0,0,None,0,,444145.jpg,3.8,64,32,0,30,FALSE,0,0,Martinelli Silva,1.4,158,53,FALSE,None,25,0.99,a,1,3,15/07/2019,912,16,8,125,0,0,0,0,0,17.9,Martinelli,1
8,04/12/1994,18,561,TRUE,TRUE,None,None,11,0.39,116216,None,,0,0,0,0,617.6,49,42,0,None,,0,3,2.8,None,0,4.12,0.15,10.86,0.39,6.74,24.76,0.88,0.24,Leandro,0,627,272,27,0.95,8,FALSE,202.1,29,23,20,FALSE,609,84,33,2546,,None,70,29,17,p116216,0,0,4,0,,116216.jpg,4,45,23,1,21,FALSE,0,0,Trossard,1.6,151,51,FALSE,None,28,0.99,a,1,3,20/01/2023,798,25,14,152,0,0,0,0,0,21.7,Trossard,2
7,14/01/1999,17,627,TRUE,TRUE,None,None,11,0.35,204480,2,,0,0,0,0,959.6,9,9,0,1,,0,3,2.7,None,0,5.64,0.18,9.14,0.29,3.51,27.13,0.86,0.11,Declan,0,601,253,29,0.92,4,FALSE,208.8,24,19,21,FALSE,733,44,12,2823,,None,65,51,36,p204480,0,0,None,0,,204480.jpg,3.6,79,39,1,241,FALSE,0,0,Rice,7.4,57,17,FALSE,None,33,1.05,a,1,3,15/07/2023,399,80,56,127,0,0,0,0,0,19.5,Rice,5
2,22/06/1996,8,326,TRUE,TRUE,None,None,4,0.23,195384,None,,0,0,0,0,265.8,137,96,0,None,,0,3,2.6,None,0,1.18,0.07,6.93,0.4,5.75,15.71,0.9,0.33,Mikel,0,569,233,17,0.97,7,FALSE,123.3,99,65,22,FALSE,456.8,136,57,1575,,None,60,88,62,p195384,0,0,None,0,,195384.jpg,3.3,112,53,1,200,FALSE,0,0,Merino Zazón,1,194,68,FALSE,None,17,0.97,a,1,3,27/08/2024,511,58,40,92,0,0,0,0,0,15.3,Merino,2
0,30/05/2000,0,0,TRUE,TRUE,None,None,0,0,438098,None,,0,0,0,0,0,648,288,0,None,,0,3,2.5,None,0,0,0,0,0,0,0,0,0,Fábio,0,516,200,0,0,0,FALSE,0,648,288,23,FALSE,0,648,288,0,,None,55,166,108,p438098,0,0,None,0,,438098.jpg,0,648,288,0,173,FALSE,0,0,Ferreira Vieira,0.1,633,274,FALSE,None,0,0,a,1,3,21/06/2022,0,645,285,0,0,0,0,0,0,0,Fábio Vieira,0
5,10/03/1994,7,580,TRUE,TRUE,None,None,6,0.19,128295,None,,0,0,0,0,333,105,76,0,None,,0,3,2.5,None,0,1.38,0.04,5.61,0.18,4.23,44.54,1.42,0.14,Christian,0,473,172,45,1.44,5,FALSE,147.9,74,52,24,FALSE,735.4,42,11,2820,,None,55,123,80,p128295,0,0,None,0,,128295.jpg,3.1,127,60,1,58,FALSE,0,0,Nørgaard,0.7,224,75,FALSE,None,34,1.09,a,1,3,10/07/2025,409,75,52,107,0,0,0,0,0,19.5,Nørgaard,8
2,21/03/2007,4,251,TRUE,TRUE,None,None,4,0.41,499175,4,,0,0,0,0,282.8,130,91,0,3,,0,3,2.5,None,0,1.78,0.18,2.97,0.3,1.19,5.38,0.55,0.12,Ethan,0,538,212,4,0.41,4,FALSE,83,161,89,25,FALSE,293.2,203,96,882,,None,55,188,120,p499175,0,0,None,0,,499175.jpg,2.5,189,81,0,241,FALSE,0,0,Nwaneri,0.5,264,87,FALSE,None,11,1.12,a,1,3,17/09/2022,255,115,79,66,0,0,0,0,0,12,Nwaneri,1
0,02/02/1999,0,0,TRUE,TRUE,None,None,0,0,481655,None,,0,0,0,0,0,651,291,0,None,,0,3,2.5,None,0,0,0,0,0,0,0,0,0,Martín,0,531,209,0,0,0,FALSE,0,651,291,26,FALSE,0,651,291,0,,None,55,181,117,p481655,0,0,None,0,,481655.jpg,0,651,291,0,200,FALSE,0,0,Zubimendi Ibáñez,1.8,137,44,FALSE,None,0,0,a,1,3,06/07/2025,0,649,289,0,0,0,0,0,0,0,Zubimendi,0
1,10/12/1999,2,143,TRUE,TRUE,None,None,1,0.19,200641,None,,0,0,0,0,223.9,158,110,0,None,,0,3,2,None,0,0.96,0.18,2.03,0.38,1.07,6.13,1.14,0.2,Reiss,0,360,100,9,1.68,1,FALSE,55.1,226,120,27,FALSE,131.6,287,136,483,,None,50,245,155,p200641,0,0,None,0,,200641.jpg,2.2,220,96,0,241,FALSE,0,0,Nelson,0.2,437,142,FALSE,None,5,0.93,a,1,3,12/07/2017,195,156,102,27,0,0,0,0,0,5.4,Nelson,1
0,10/12/2005,0,0,TRUE,TRUE,None,None,0,0,588796,None,,0,0,0,0,0,575,238,0,None,,0,3,1.5,None,0,0,0,0,0,0,0,0,0,Ismeal,0,302,67,0,0,0,FALSE,0,579,238,28,FALSE,0,579,238,0,,None,45,524,289,p588796,0,0,None,0,,588796.jpg,0,580,239,0,152,FALSE,0,0,Kabia,0.3,336,111,FALSE,None,0,0,a,1,3,14/09/2024,0,559,232,0,0,0,0,0,0,0,Kabia,0
0,22/10/1999,0,0,TRUE,TRUE,None,None,0,0,437742,None,,0,0,0,0,0,503,190,0,None,,0,3,1.5,None,0,0,0,0,0,0,0,0,0,Albert,0,201,9,0,0,0,FALSE,0,507,190,29,FALSE,0,507,190,0,,None,45,423,231,p437742,0,0,None,0,,437742.jpg,0,510,191,0,21,FALSE,0,0,Sambi Lokonga,0.2,463,153,FALSE,None,0,0,a,1,3,19/07/2021,0,483,182,0,0,0,0,0,0,0,Sambi,0
3,11/06/1999,14,343,TRUE,TRUE,None,None,7,0.34,219847,None,,0,0,0,0,269,134,15,0,None,,0,4,2.9,None,0,1.65,0.08,11.18,0.54,9.53,19.32,0.93,0.46,Kai,0,644,62,20,0.96,9,FALSE,144.8,76,15,30,FALSE,467.6,135,15,1872,,None,75,22,10,p219847,0,0,None,0,,219847.jpg,4.2,35,9,0,80,FALSE,0,0,Havertz,1.5,153,28,FALSE,None,21,1.01,a,1,3,28/06/2023,711,33,14,97,0,0,0,0,0,12.9,Havertz,5
2,03/04/1997,6,152,TRUE,TRUE,0,None,2,0.3,205651,None,,0,0,0,0,119.5,220,23,0,None,,0,4,0,None,0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,0,602,51,5,0.75,3,FALSE,52.6,233,24,31,FALSE,154.4,278,25,600,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,65,52,16,p205651,0,0,None,0,,205651.jpg,2.5,190,19,0,30,FALSE,0,0,Fernando de Jesus,0,646,69,FALSE,None,6,0.9,i,1,3,04/07/2022,255,116,23,42,0,0,0,0,0,6.5,G.Jesus,4
0,27/06/2004,0,0,TRUE,TRUE,None,None,0,0,500040,None,,0,0,0,0,0,653,221,0,None,,0,2,3.8,None,0,0,0,0,0,0,0,0,0,Cristhian,0,539,211,0,0,0,FALSE,0,653,221,662,FALSE,0,653,221,0,,None,55,189,29,p500040,0,0,None,0,,500040.jpg,0,653,221,0,200,FALSE,0,0,Mosquera,0.1,549,206,FALSE,None,0,0,a,1,3,24/07/2025,0,651,221,0,0,0,0,0,0,0,Mosquera,0
0,04/06/1998,0,0,TRUE,TRUE,None,None,0,0,224117,None,,0,0,0,0,0,668,70,0,None,,0,4,3.3,None,0,0,0,0,0,0,0,0,0,Viktor,0,663,68,0,0,0,FALSE,0,668,70,666,FALSE,0,668,70,0,,None,90,8,4,p224117,0,0,None,0,,224117.jpg,0,668,70,0,206,FALSE,0,0,Gyökeres,23.1,14,3,FALSE,None,0,0,a,1,3,26/07/2025,0,668,70,0,0,0,0,0,0,0,Gyökeres,0
0,02/09/1992,6,457,TRUE,TRUE,0,None,8,0.23,98980,None,,0,0,0,0,20,325,7,0,None,,0,1,0,None,0,0.02,0,0.02,0,0,44.99,1.27,0,Emiliano,0,334,66,47,1.32,0,FALSE,86,155,5,32,FALSE,839.6,21,6,3195,Suspended until 23 Aug,2025-07-21T10:00:04.758838Z,50,219,9,p98980,0,0,None,1,,98980.jpg,3,133,20,1,10,FALSE,100,2.82,Martínez Romero,0.5,261,37,FALSE,None,37,1.04,s,2,7,16/09/2020,0,580,67,111,0,0,0,0,0,22.2,Martinez,5
0,10/03/1991,0,0,TRUE,TRUE,None,None,0,0,72147,None,,0,0,0,0,0,481,62,0,None,,0,1,1.8,None,0,0,0,0,0,0,0,0,0,Marco,0,131,47,0,0,0,FALSE,0,488,69,33,FALSE,0,488,69,0,,None,45,353,18,p72147,0,0,None,0,,72147.jpg,0,491,69,0,152,FALSE,0,0,Bizot,0.3,346,48,FALSE,None,0,0,a,2,7,15/07/2025,0,458,49,0,0,0,0,0,0,0,M.Bizot,0
0,04/07/2000,0,0,TRUE,TRUE,None,None,0,0,462492,None,,0,0,0,0,0,425,44,0,None,,0,1,0.5,None,0,0,0,0,0,0,0,0,0,Joe,0,56,27,0,0,0,FALSE,0,435,53,34,FALSE,0,435,53,0,,None,40,600,59,p462492,0,0,None,0,,462492.jpg,0,438,53,0,13,FALSE,0,0,Gauci,1,184,26,FALSE,None,0,0,a,2,7,01/02/2024,0,394,29,0,0,0,0,0,0,0,Gauci,0
0,24/04/2003,0,0,FALSE,TRUE,0,None,0,0,462381,None,,0,0,0,0,0,424,43,0,None,,0,1,0,None,0,0,0,0,0,0,0,0,0,Filip,0,55,26,0,0,0,FALSE,0,434,52,35,FALSE,0,434,52,0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,599,58,p462381,0,0,None,0,,462381.jpg,0,437,52,0,241,FALSE,0,0,Marschall,0.2,406,54,FALSE,None,0,0,u,2,7,13/12/2021,0,393,28,0,0,0,0,0,0,0,Marschall,0
1,07/08/1997,2,286,TRUE,TRUE,None,None,7,0.3,199796,None,,0,0,0,0,181,185,43,0,None,,0,2,1.4,None,0,1.23,0.05,1.71,0.07,0.48,28.64,1.25,0.02,Matty,0,162,106,22,0.96,1,FALSE,71.3,191,60,36,FALSE,359.2,173,61,2069,,None,45,384,86,p199796,0,0,None,0,,199796.jpg,2.8,153,46,0,172,FALSE,0,0,Cash,1.6,145,50,FALSE,None,24,1.04,a,2,7,03/09/2020,171,170,38,76,0,0,0,0,0,16.9,Cash,7
5,20/07/1993,7,383,TRUE,TRUE,None,None,6,0.23,101188,7,,0,0,0,0,583.9,52,7,0,2,,0,2,1.4,None,0,3.97,0.15,4.77,0.18,0.8,34.94,1.34,0.03,Lucas,0,137,88,36,1.38,0,FALSE,120.7,103,20,37,FALSE,512.6,122,41,2348,,None,45,359,68,p101188,0,0,None,0,,101188.jpg,2.8,150,43,0,73,FALSE,0,0,Digne,1.6,147,52,FALSE,None,28,1.07,a,2,7,13/01/2022,112,213,64,89,0,0,0,0,0,19.8,Digne,4
0,23/10/1997,10,448,TRUE,TRUE,None,None,8,0.25,199798,None,,0,0,0,0,123.9,217,63,0,None,,0,2,1.4,None,0,0.61,0.02,1.9,0.06,1.29,43.82,1.34,0.04,Ezri,0,163,107,45,1.38,2,FALSE,82.4,163,48,38,FALSE,532.8,112,39,2936,,None,45,385,87,p199798,0,0,None,0,,199798.jpg,3,130,36,0,241,FALSE,0,0,Konsa Ngoyo,24,13,5,FALSE,None,33,1.01,a,2,7,11/07/2019,166,172,40,103,0,0,0,0,0,22.9,Konsa,1
2,10/03/2002,0,204,TRUE,TRUE,None,None,3,0.24,441302,None,,0,0,0,0,293.4,125,25,0,None,,0,2,1.4,None,0,2.43,0.19,3.3,0.26,0.87,17.31,1.38,0.07,Ian,0,206,135,16,1.28,1,FALSE,74.3,187,56,39,FALSE,252,223,81,1125,,None,45,428,115,p441302,0,0,None,0,,441302.jpg,2,242,85,0,152,FALSE,0,0,Maatsen,1,186,60,FALSE,None,10,0.8,a,2,7,28/06/2024,197,153,28,57,0,0,0,0,0,12.7,Maatsen,2
1,13/03/1993,5,207,TRUE,TRUE,None,None,4,0.32,149484,None,,0,0,0,0,49.2,279,102,0,None,,0,2,1.4,None,0,0.23,0.02,1.11,0.09,0.88,13.2,1.06,0.07,Tyrone,0,150,98,11,0.88,0,FALSE,34.6,272,95,40,FALSE,220.4,233,84,1119,,None,45,372,78,p149484,0,0,None,0,,149484.jpg,3.4,95,17,0,241,FALSE,0,0,Mings,0.5,268,95,FALSE,None,12,0.97,a,2,7,08/07/2019,74,242,81,47,0,0,0,0,0,10.4,Mings,1
0,16/01/1997,3,254,TRUE,TRUE,None,None,5,0.22,244954,None,,0,0,0,0,84.5,247,85,0,None,,0,2,1.4,None,0,0.43,0.02,0.94,0.04,0.51,29.69,1.32,0.02,Pau,0,196,132,33,1.47,0,FALSE,54,232,69,41,FALSE,350.6,181,64,2019,,None,45,418,112,p244954,0,0,None,0,,244954.jpg,2.3,205,71,0,200,FALSE,0,0,Torres,0.4,288,102,FALSE,None,23,1.03,a,2,7,12/07/2023,102,218,68,55,0,0,0,0,0,12.2,Pau,2
0,07/02/2003,0,26,TRUE,TRUE,None,None,0,0,606798,None,,0,0,0,0,68.4,262,91,0,None,,0,2,0.5,None,0,0.49,0.14,0.53,0.15,0.04,6.49,1.85,0.01,Andrés,0,118,74,5,1.42,0,FALSE,12,323,119,42,FALSE,45.6,333,124,316,,None,40,662,216,p606798,0,0,None,0,,606798.jpg,1.1,332,117,0,200,FALSE,0,0,García,1,192,62,FALSE,None,5,1.42,a,2,7,21/01/2025,7,326,124,8,0,0,0,0,0,2,A.García,0
1,08/06/1993,1,126,TRUE,TRUE,None,None,3,0.28,106468,None,,0,0,0,0,134.5,211,60,0,None,,0,2,0.5,None,0,1.1,0.1,1.27,0.12,0.17,13.94,1.32,0.02,Álex,0,13,3,16,1.51,0,FALSE,36.4,266,91,43,FALSE,200.8,250,92,952,,None,40,557,145,p106468,0,0,None,0,,106468.jpg,2.3,203,69,0,200,FALSE,0,0,Moreno Lopera,11.7,36,13,FALSE,None,11,1.04,a,2,7,11/01/2023,29,290,104,34,0,0,0,0,0,8.5,Alex Moreno,2
0,05/01/2004,0,22,TRUE,TRUE,None,None,0,0,515597,None,,0,0,0,0,33.3,303,115,0,None,,0,2,0.5,None,0,0.13,0.02,0.17,0.03,0.04,9.28,1.77,0.01,Lamare,0,84,46,11,2.09,0,FALSE,13.3,319,116,44,FALSE,84.8,311,114,473,,None,40,628,188,p515597,0,0,None,0,,515597.jpg,0.8,383,135,0,152,FALSE,0,0,Bogarde,0.3,339,126,FALSE,None,5,0.95,a,2,7,07/01/2021,15,310,115,6,0,0,0,0,0,1.5,Bogarde,2
0,None,0,0,TRUE,TRUE,None,None,0,0,514315,None,,0,0,0,0,0,446,173,0,None,,0,2,0.5,None,0,0,0,0,0,0,0,0,0,Lino,0,82,44,0,0,0,FALSE,0,456,175,45,FALSE,0,456,175,0,,None,40,626,186,p514315,0,0,None,0,,514315.jpg,0,460,176,0,None,FALSE,0,0,da Cruz Sousa,0.3,324,119,FALSE,None,0,0,a,2,7,None,0,419,168,0,0,0,0,0,0,0,Sousa,0
0,20/04/2006,0,0,TRUE,TRUE,None,None,0,0,587178,None,,0,0,0,0,0,468,190,0,None,,0,2,0.5,None,0,0,0,0,0,0,0,0,0,Yasin,0,111,68,0,0,0,FALSE,0,477,191,46,FALSE,0,477,191,0,,None,40,655,210,p587178,0,0,None,0,,587178.jpg,0,480,191,0,219,FALSE,0,0,Özcan,0.3,353,136,FALSE,None,0,0,a,2,7,01/06/2025,0,444,188,0,0,0,0,0,0,0,Yasin,0
